Title,Origin/Ethnicity,Director,Cast,Genre,Keywords,Year Binned
The Conclave,Canadian,Christoph Schrewe,"Manuel Fullola, Brian Blessed, James Faulkner",historical drama,"['cardinal', 'rodrigo', 'vi', 'pope', 'proceedings', '27', 'centers', 'material', 'alexander', 'diary', 'surrounding', 'drama', 'record', 'struggles', 'written']",2005s
Congorama,Canadian,Philippe Falardeau,"Paul Ahmarani, Olivier Gourmet, Claudia Tagbo, Jean-Pierre Cassel, Gabriel Arcand",drama,"['quebec', 'inventor', 'born', '2000', 'reassures', 'paths', 'louis', 'crosses', 'cares', 'impossible', 'supposedly', 'quest', 'adopted', 'summer', 'writer']",2005s
Everything's Gone Green,Canadian,Paul Fox,"Paulo Costanzo, Steph Song, JR Borune, Tom Butler","comedy, drama","['lottery', 'bryce', 'ryan', 'winners', 'ming', 'designer', 'winning', 'job', 'won', 'whale', 'interviewing', 'lucrative', 'haven', 'participating', 'golf']",2005s
A Dog's Breakfast,Canadian,David Hewlett,"David Hewlett, Kate Hewlett",black comedy,"['ryan', 'patrick', 'marilyn', 'elise', 'sister', 'mars', 'body', 'christmas', 'time', 'lake', 'aunt', 'dog', 'moose', 'death', 'law']",2005s
A Family Secret (Le Secret de ma mère),Canadian,Ghyslaine Côté,"Ginette Reno, Céline Bonnier",family drama,"['gather', 'chaos', 'ensues', 'david', 'funeral', 'set', 'friends', 'years', 'new', 'family', 'day', '14', '13', '12', '11']",2005s
Fido,Canadian,Andrew Currie,"Dylan Baker, Billy Connolly, Carrie-Anne Moss",zombie comedy,"['timmy', 'zombie', 'zombies', 'helen', 'neighbor', 'bullies', 'humanity', 'radiation', 'hunger', 'mr', 'outbreak', 'flesh', 'security', 'jonathan', 'zone']",2005s
Flutter,Canadian,Howie Shia,unknown_cast,animated short co-produced with the national film board,"['boy', 'waves', 'color', 'classmates', 'girl', 'abandon', 'quiet', 'young', 'inspired', 'goodbye', 'space', 'flying', 'art', 'disappears', 'pursue']",2005s
Imitation,Canadian,Federico Hidalgo,"Vanessa Bauche, Jesse Aaron Dwyre, Conrad Pla",comedy-drama,"['teresa', 'montreal', 'fenton', 'played', 'quebec', 'suitor', 'feature', 'grocery', 'vanessa', 'encountering', 'jesse', 'stock', 'equally', 'aaron', 'companion']",2005s
It's a Boy Girl Thing,Canadian,Nick Hurran,"Samaire Armstrong, Kevin Zegers, Sherry Miller, Robert Joy, Sharon Osbourne, Maury Chaykin",comedy,"['woody', 'nell', 'body', 'nicky', 'interview', 'statue', 'football', 'school', 'museum', 'dance', 'day', 'upset', 'following', 'game', 'talk']",2005s
Niagara Motel,Canadian,Gary Yates,"Caroline Dhavernas, Kevin Pollak, Anna Frield, Kris Holden-Reid, Craig Ferguson",drama,"['motel', 'andrei', 'holden', 'budget', 'porn', 'linked', 'caretaker', 'features', 'videos', 'inhabitants', 'recruited', 'waitress', 'drunken', 'coffee', 'include']",2005s
Radiant City,Canadian,Gary Burns & Jim Brown,"Mark Kingwell, James Howard Kunstler",documentary/fiction made with the national film board,"['moss', 'evan', 'area', 'ann', 'distance', 'constantly', 'downtown', 'satisfy', 'consume', 'family', 'buildings', 'opinion', 'suburban', 'inner', 'ordinary']",2005s
The Secret Life of Happy People,Canadian,Stéphane Lapointe,"Gilbert Sicotte, Marc Paquet, Catherine de Léan, Marie Gignac","comedy, drama","['thomas', 'audrey', 'sheep', 'spirited', 'catherine', 'waitress', 'forever', 'innocent', 'family', 'seemingly', 'changes', 'encounter', 'black', 'change', 'free']",2005s
Snow Cake,Canadian,Marc Evans,"Alan Rickman, Sigourney Weaver, Carrie-Anne Moss, Emily Hampshire",drama,"['alex', 'linda', 'maggie', 'garbage', 'son', 'hughes', 'drifter', 'weaver', 'moss', 'carrie', 'freeman', 'stay', 'collected', 'touching', 'agrees']",2005s
Spymate,Canadian,Robert Vince,"Barry Bostwick, Jay Brazeau, Pat Morita, Chris Potter, Richard Kind, Emma Roberts","comedy, family film","['amelia', 'mike', 'dr', 'drill', 'hugo', 'edith', 'spy', 'guards', 'ninja', 'earth', 'scientific', 'circus', 'spies', 'chamber', 'award']",2005s
Steel Toes,Canadian,David Gow,"David Strathairn, Andrew W. Walker",drama,"['beliefs', 'aryan', 'motivated', 'walker', 'clash', 'andrew', 'jewish', 'walls', 'canada', 'client', 'brutal', 'danny', 'mike', 'defend', 'accused']",2005s
A Stone's Throw,Canadian,Camelia Frieberg,"Kris Holden-Ried, Kathryn MacLellan, Aaron Webber",drama,"['jack', 'thomas', 'olivia', 'factory', 'marc', 'jean', 'disease', 'tested', 'saying', 'nova', 'mining', 'internet', 'father', 'discuss', 'goes']",2005s
Trailer Park Boys: The Movie,Canadian,Mike Clattenburg,"Robb Wells, John Paul Tremblay, Mike Smith, John Dunsworth, Hugh Dillon, Lucy DeCoutere",comedy,"['ricky', 'julian', 'lucy', 'bubbles', 'sonny', 'cory', 'donny', 'jail', 'trailer', 'money', 'boys', 'trevor', 'dirty', 'park', 'club']",2005s
Unnatural & Accidental,Canadian,Carl Bessai,"Carmen Moore, Callum Keith Rennie, Tantoo Cardinal",drama,"['nations', 'cardinal', 'rita', 'carmen', 'accidental', 'moore', 'rebecca', 'faced', 'troubled', 'jones', 'ended', 'searches', 'journey', 'dying', 'missing']",2005s
Who Loves the Sun,Canadian,Matt Bissonnette,"Lukas Haas, R.H. Thomson, Wendy Crewson, Adam Scott, Molly Parker",drama,"['maggie', 'daniel', 'affair', 'years', 'ago', 'bloom', 'docks', 'best', 'apologizing', 'shield', 'molly', 'explanation', 'claire', 'canadian', 'parker']",2005s
The Wild,Canadian,Steve 'Spaz' Williams,"voices Kiefer Sutherland, James Belushi",animated feature,"['samson', 'ryan', 'nigel', 'benny', 'volcano', 'wild', 'zoo', 'larry', 'bridget', 'animals', 'tree', 'lion', 'scaring', 'ship', 'mechanical']",2005s
The 3 L'il Pigs (Les 3 p'tits cochons),Canadian,Patrick Huard,"Claude Legault, Guillaume Lemay-Thivierge, Paul Doucet",comedy,"['aspects', 'conversations', 'negative', 'positive', 'coma', 'discuss', 'brothers', 'lies', 'passes', 'attempts', 'brother', 'mother', 'time', '15', '14']",2005s
All Hat,Canadian,Leonard Farlinger,"Luke Kirby, Stephen McHattie, Keith Carradine",western-comedy,"['sonny', 'ray', 'stanton', 'rash', 'ass', 'leigh', 'jenkins', 'jockey', 'faster', 'keith', 'hooks', 'crawls', 'golf', 'urban', 'dollar']",2005s
Amal,Canadian,Richie Mehta,"Rupindar Nagra, Koel Purie, Naseeruddin Shah, Seema Biswas, Vik Sahay",drama,"['sapna', 'suresh', 'pooja', 'girl', 'beggar', 'jayaram', 'rupees', 'vivek', 'honest', 'son', 'inheritance', 'driver', 'sweet', 'homeless', 'draw']",2005s
American Venus,Canadian,Bruce Sweeney,"Rebecca De Mornay, Jane McGregor, Matt Craven",drama,"['jenna', 'mother', 'gun', 'canada', 'home', 'drive', 'tries', 'handgun', 'competitive', 'locking', 'windows', 'father', 'acknowledges', 'competing', 'resume']",2005s
Bluff,Canadian,Simon Olivier Fecteau & Marc-André Lavoie,"Rémy Girard, Isabelle Blais",comedy,"['discovery', 'building', 'shocking', 'landlord', 'basement', 'contacts', 'wait', 'inspector', 'destroyed', 'pair', 'police', 'comes', 'story', 'finds', '14']",2005s
Breakfast with Scot,Canadian,Laurie Lynd,"Tom Cavanagh, Ben Shenkman, Noah Bernett, Benz Antoine",comedy,"['eric', 'gay', 'sam', 'turned', 'noah', 'hockey', 'fades', 'suggest', 'upside', 'parent', 'clothing', 'guardian', 'lives', 'sports', 'legal']",2005s
Butterfly on a Wheel,Canadian,Mike Barker,"Pierce Brosnan, Maria Bello, Gerard Butler",thriller,"['neil', 'abby', 'tom', 'sophie', 'judy', 'document', 'requires', 'ryan', 'affair', 'randall', '300', '24', 'dress', 'daughter', 'piece']",2005s
Closing the Ring,Canadian,Richard Attenborough,"Shirley MacLaine, Christopher Plummer, Pete Postlethwaite, Brenda Flicker, Neve Campbell",wwii drama,"['teddy', 'chuck', 'jack', 'marie', 'jimmy', 'ring', 'ann', 'eleanor', '1991', 'michigan', 'loved', 'young', 'gordon', 'finally', 'mountain']",2005s
"Continental, a Film Without Guns (Continental, un film sans fusil)",Canadian,Stéphane Lafleur,"Marie-Ginette Guay, Gilbert Sicotte, Réal Bossé, Fanny Mallette",comedy-drama,"['forest', 'bus', 'man', 'sounds', 'wanders', 'edge', 'everybody', 'disappearance', 'night', 'woods', 'disappears', 'deep', 'fallen', 'wakes', 'gone']",2005s
Days of Darkness (L'Âge des ténèbres),Canadian,Denys Arcand,"Marc Labrèche, Diane Kruger, Sylvie Léonard",comedy/drama,"['marc', 'jean', 'william', 'workers', 'sylvie', 'longer', 'veronica', 'quebec', 'ages', 'bothered', 'themed', 'slaves', 'canadian', 'fair', 'movement']",2005s
Decoys 2,Canadian,Jeffery Scott Lando,Kim Poirier,"sci-fi, horror","['sam', 'luke', 'constance', 'stephanie', 'arnold', 'jasmine', 'peter', 'nick', 'henry', 'prof', 'aliens', 'cold', 'dr', 'dorm', 'mates']",2005s
Emotional Arithmetic,Canadian,Paolo Barzman,"Gabriel Byrne, Roy Dupuis, Susan Sarandon, Christopher Plummer, Max von Sydow",drama,"['melanie', 'emotional', 'christopher', 'camp', 'david', 'winters', 'quebec', 'nazis', 'unfaithful', 'benjamin', 'affect', 'eastern', 'poet', 'orphaned', 'formed']",2005s
Just Buried,Canadian,Chaz Thorne,"Jay Baruchel, Rose Byrne, Graham Greene, Jeremy Akerman",black comedy,"['oliver', 'funeral', 'home', 'stage', 'shortly', 'ownership', 'accidents', 'stepmother', 'town', 'encouraging', 'father', 'partnership', 'inherited', 'intentionally', 'belonged']",2005s
Late Fragment,Canadian,"Daryl Cloran, Anita Doron, Mateo Guez","Michael Healey, Jeffrey Parazzo",interactive cinema,"['unravel', 'feature', 'viewers', 'strangers', 'thoughts', 'violence', 'simple', 'acts', 'stories', 'lives', 'film', '18', '17', '16', '150']",2005s
Madame Tutli-Putli,Canadian,Chris Lavis & Maciek Szczerbowski,unknown_cast,national film board stop motion animated short,"['train', 'madame', 'robbers', 'stomach', 'boards', 'cut', 'journey', 'steal', 'mysterious', 'open', 'escape', 'night', 'tries', 'man', '17']",2005s
"My Daughter, My Angel (Ma fille mon ange)",Canadian,Alexis Durand-Brault,"Michel Côté, Karine Vanasse",thriller,"['included', 'video', 'pornography', 'porn', 'videotape', 'panicked', 'viewing', 'announcing', 'daughter', 'fate', 'interested', 'private', 'evidence', 'future', 'crime']",2005s
My Winnipeg,Canadian,Guy Maddin,"Darcy Fehr, Ann Savage",drama,"['arena', 'recounts', 'city', 'film', 'fictional', 'mother', 'including', 'notes', 'river', 'historical', 'family', 'viewer', 'guy', 'imagines', 'citizen']",2005s
Partition,Canadian,Vic Sarin,"Jimi Mistry, Kristin Kreuk, Neve Campbell, John Light, Irrfan Kahn",historical drama,"['gian', 'akbar', 'andrew', 'sikh', 'margaret', 'walter', 'vijay', 'pakistan', 'muslim', 'visions', 'train', 'tortured', 'border', 'just', 'recognizes']",2005s
Poor Boy's Game,Canadian,Clement Virgo,"Rossif Sutherland, Flex Alexander, Danny Glover, Greg Bryk, Laura Regan",boxing drama,"['donnie', 'keith', 'george', 'charles', 'black', 'fight', 'community', 'ring', 'teen', 'members', 'hate', 'contemplating', 'church', 'retribution', 'white']",2005s
Silk,Canadian,François Girard,"Michael Pitt, Keira Knightley, Alfred Molina, Miki Nakatani, Koji Yakusho, Callum Keith Rennie",historical drama,"['madame', 'eggs', 'japan', 'japanese', 'letter', 'garden', 'written', 'village', 'unidentified', 'trip', 'woman', 'affected', 'flowers', 'departure', 'france']",2005s
The Stone Angel,Canadian,Kari Skogland,"Ellen Burstyn, Christine Horne, Cole Hauser, Ellen Page, Kevin Zegers, Dylan Baker, Luke Kirby",drama based on the novel by margaret laurence,"['marvin', 'woods', '90', 'john', 'angel', 'novel', 'stone', 'son', 'woman', 'wanderer', 'comes', 'chapter', 'emotion', 'separates', 'dies']",2005s
Surviving My Mother,Canadian,Émile Gaudreault,"Caroline Dhavernas, Ellen David, Véronique Le Flaguais, Colin Mochrie","family drama, comedy","['clara', 'closer', 'bianca', 'le', 'deathbed', 'regrets', 'revelation', 'daughter', 'pursue', 'david', 'causes', 'relationship', 'mother', 'tells', '15']",2005s
That Beautiful Somewhere,Canadian,Robert Budreau,"Roy Dupuis, Jane McGregor, Gordon Tootoosis, David Fox",crime melodrama,"['swamp', 'redemption', 'unravel', 'healing', 'souls', 'teams', 'native', 'powers', 'female', 'detective', 'searching', 'wounded', 'mysterious', 'body', 'young']",2005s
They Wait,Canadian,Ernie Barbarash,"Jaime King, Terry Chen, Pei-pei Cheng, Regan Oey, Henry O",horror,"['sammy', 'sarah', 'month', 'ghost', 'gravely', 'raymond', 'grip', 'chen', 'western', 'medicine', 'ghosts', 'spirits', 'traditional', 'illness', 'jason']",2005s
The Tracey Fragments,Canadian,Bruce McDonald,"Ellen Page, Zie Souwand, Slim Twig, Max Turnbull, Julian Richings",drama,"['sonny', 'slim', 'truth', 'curtain', 'ellen', 'underwear', 'lance', 'zero', 'mouse', 'inhabitants', 'city', 'page', 'shower', 'despair', 'roll']",2005s
Weirdsville,Canadian,Allan Moyle,"Scott Speedman, Wes Bentley, Taryn Manning, Raoul Bhaneja","comedy, action","['mattie', 'dexter', 'royce', 'abel', 'taylor', 'omar', 'safe', 'jason', 'debt', 'matilda', 'martin', 'boys', 'cult', 'plan', 'centre']",2005s
Young People Fucking,Canadian,Martin Gero,"Aaron Abrams, Kristin Booth, Ennis Esmer, Carly Pope","sexual, romantic comedy","['roommates', 'specific', 'couple', 'sexual', 'date', 'encounter', 'friends', 'sex', 'kristen', 'abby', 'benefits', 'represents', 'mia', 'fifth', 'ken']",2005s
Adoration,Canadian,Atom Egoyan,"Rachel Blanchard, Scott Speedman, Kenneth Welsh, Arsinée Khanjian, Devon Bostick, Aaron Poole",drama,"['sabine', 'simon', 'rachel', 'exercise', 'unborn', 'maternal', 'french', 'terrorist', 'tom', 'story', 'bomb', 'class', 'airline', 'israeli', '1986']",2005s
Before Tomorrow,Canadian,Marie-Hélène Cousineau & Madeline Ivalu,"Madeline Ivalu, Paul-Dylan Ivalu",inuit drama,"['island', 'isolated', 'camp', 'families', 'main', 'white', 'harvest', 'wisdom', 'wise', 'dry', 'belong', 'cheer', 'unstable', 'fishing', 'bury']",2005s
Blindness,Canadian,Fernando Meirelles,"Julianne Moore, Danny Glover, Alice Braga, Mark Ruffalo, Gael Garcia Bernal, Alice Braga, Don McKellar",drama,"['blind', 'doctor', 'food', 'wife', 'ward', 'glasses', 'man', 'asylum', 'japanese', 'sight', 'dark', 'white', 'patch', 'husband', 'conditions']",2005s
Blonde and Blonder,Canadian,Dean Hamilton,"Pamela Anderson, Denise Richards",comedy,"['dee', 'dawn', 'wong', 'kit', 'swan', 'leo', 'cat', 'assassins', 'casino', 'agents', 'federal', 'turtle', 'lounge', 'godfather', 'blonde']",2005s
A Broken Life,Canadian,Neil Coombs,"Tom Sizemore, Corey Sevier",drama,"['max', 'bud', 'handicapped', 'kindness', 'commit', 'hours', 'hope', 'boss', 'ex', 'forces', 'revenge', 'confronts', 'final', 'suicide', 'woman']",2005s
Down to the Dirt,Canadian,Justin Simms,"Joel Thomas Hynes, Robert Joy, Mary Lewis, Hugh Dillon",drama,"['keith', 'natasha', 'failures', 'embarks', 'rowdy', 'realizes', 'southern', 'shattered', 'shore', 'fed', 'drinking', 'ways', 'responsible', 'hard', 'changes']",2005s
Gutterballs,Canadian,Ryan Nicholson,"Alastair Gamble, Jeremy Beland, Mihola Terzic",horror,"['bowling', 'steve', 'lisa', 'jamie', 'pin', 'joey', 'killer', 'patrick', 'julia', 'sam', 'alley', 'dave', 'sarah', 'ball', 'shotgun']",2005s
Hank and Mike,Canadian,Matthiew Klinck,"Paolo Mancini, Thomas Michael, Joe Mantegna, Chris Klein",comedy,"['collar', 'unravel', 'odd', 'depression', 'jobs', 'debt', 'failing', 'blue', 'fired', 'fighting', 'realize', 'try', 'start', 'hand', 'job']",2005s
Heaven on Earth,Canadian,Deepa Mehta,"Preity Zinta, Geetika Sharma, Yanna McIntosh",drama,"['rocky', 'rosa', 'root', 'husband', 'canada', 'face', 'new', 'hope', 'baldev', 'india', 'cobra', 'feels', 'laundry', 'aman', 'bruised']",2005s
How She Move,Canadian,Ian Iqbal Rashid,"Rutina Wesley, Tre Armstrong, Dwain Murphy, Clé Bennett, Ardon Bess, Conrad Coates",dance drama,"['bishop', 'earn', 'competition', 'crew', 'wesley', 'tuition', 'organize', 'dancers', 'murphy', 'school', 'ambitious', 'fund', 'afford', 'kicked', 'jealousy']",2005s
The Necessities of Life,Canadian,Benoît Pilon,"Natar Ungalaaq, Eveline Gélinas, Paul-André Brasseur",drama,"['french', 'understanding', 'quebec', 'compelled', 'barrier', 'greater', 'advised', 'institution', 'orphaned', 'citing', 'canadian', 'conversations', 'adopt', 'northern', 'language']",2005s
One Week,Canadian,Michael McGowan,"Joshua Jackson, Liane Balaban, Gordon Downie, narrated by Campbell Scott",drama,"['ben', 'samantha', 'motorcycle', 'cancer', 'narrator', 'adventure', 'trip', 'tracy', 'toronto', 'tyler', 'aged', 'west', 'final', 'child', 'question']",2005s
Otto; or Up with Dead People,Canadian,Bruce LaBruce,"Jey Crisfar, Marcel Schlutt",horror,"['otto', 'zombie', 'rudolf', 'bent', 'vulnerable', 'berlin', 'filmmaker', 'wallet', 'remembering', 'documentary', 'explore', 'guest', 'begins', 'contains', 'details']",2005s
Passchendaele,Canadian,Paul Gross,"Paul Gross, Caroline Dhavernas, Gil Bellows, Joe Dinicol, Meredith Bailey","romance, world war i drama","['david', 'mann', 'sarah', 'battalion', 'german', 'germans', 'combat', 'war', 'attack', 'enlist', 'shell', 'gun', 'nurse', 'explosion', 'cross']",2005s
Pontypool,Canadian,Bruce McDonald,"Stephen McHattie, Lisa Houle","horror, thriller","['grant', 'sydney', 'mendez', 'laurel', 'ken', 'booth', 'ann', 'virus', 'infected', 'word', 'credits', 'station', 'air', 'describes', 'lock']",2005s
Real Time,Canadian,Randall Cole,"Randall Cole, Randy Quaid, Jay Baruchel",dramedy,"['andy', 'grandma', 'luck', 'car', 'bad', 'hamilton', 'envelope', 'owes', 'seat', 'vehicle', 'leg', 'arriving', 'window', '000', 'food']",2005s
Stone of Destiny,Canadian,Charles Martin Smith,"Charlie Cox, Kate Mara, Robert Carlyle, Billy Boyd",drama,"['hamilton', 'stone', 'abbey', 'scottish', 'stuart', 'london', 'craig', 'scotland', 'field', 'steal', 'group', 'theft', 'merely', 'celebration', 'christmas']",2005s
Up the Yangtze,Canadian,Yung Chang,unknown_cast,national film board documentary,"['yu', 'cruise', 'ship', 'bo', 'chen', 'ships', 'family', 'modern', 'film', 'cindy', 'porter', 'dam', 'tourists', 'aspirations', 'sixteen']",2005s
5150 Elm's Way,Canadian,Éric Tessier,"René-Daniel Dubois, Marc-André Grondin","drama, thriller","['chess', 'game', 'cellar', 'placed', 'wins', 'play', 'free', 'psychopath', 'final', 'recaptured', 'doesn', 'madly', 'showdown', 'dealers', 'consumed']",2005s
Amreeka,Canadian,Cherien Dabis,"Nisreen Faour, Melkar Muallem, Hiam Abbass, Alia Shawkat",immigrant family drama,"['castle', 'white', 'mr', 'bank', 'family', 'israeli', 'discover', 'muslims', 'customs', 'iraq', 'students', 'atmosphere', 'sister', 'school', 'remarks']",2005s
Cadavres,Canadian,Éric Canuel,"Patrick Huard, Julie LeBreton, Sylvie Boucher, Christopher Heyerdahl",black comedy,"['corpse', 'pigs', 'stupid', 'halloween', 'horde', 'terribly', 'raymond', 'sinister', 'dire', 'ditch', 'dealers', 'sister', 'adventure', 'gangsters', 'ruined']",2005s
Cairo Time,Canadian,Ruba Nadda,"Patricia Clarkson, Alexander Siddig, Elena Anaya, Amina Annabi, Tom McCamus",romance,"['mark', 'delayed', 'time', 'relationship', 'hotel', 'kathryn', 'egyptian', 'camps', 'refugee', 'continually', 'sorrow', 'european', 'extended', 'city', 'canadian']",2005s
Cooking with Stella,Canadian,Richie Mehta,"Don McKellar, Lisa Ray, Seema Biswas, Vanesh Bhardwaj, Shriya Saran",drama,"['canadian', 'stella', 'seema', 'schemes', 'commission', 'longtime', 'chef', 'cook', 'threaten', 'delhi', 'high', 'husband', 'years', '15', '14']",2005s
Defendor,Canadian,Peter Stebbings,"Woody Harrelson, Elias Koteas, Kat Dennings, Sandra Oh, Clark Johnson, Lisa Ray",drama,"['arthur', 'kat', 'paul', 'industry', 'captain', 'assaulting', 'park', 'crack', 'angel', 'smoking', 'shot', 'reveals', 'construction', 'writing', 'grandfather']",2005s
Excited,Canadian,Bruce Sweeney,"Gabrielle Rose, Agam Darshi",comedy,"['kevin', 'gabrielle', 'grandchildren', 'shoe', 'patience', 'golf', 'sales', 'educated', 'hasn', 'clerk', 'heaven', 'like', 'unbeknownst', 'dismay', 'rose']",2005s
I Killed My Mother (J'ai tué ma mère),Canadian,Xavier Dolan,"Xavier Dolan, Anne Dorval, François Arnaud, Suzanne Clément",drama,"['hubert', 'mother', 'school', 'boarding', 'teacher', 'adds', 'eric', 'principal', 'father', 'kingdom', 'richard', 'morning', 'lie', 'argument', 'single']",2005s
"Leslie, My Name Is Evil",Canadian,Reginald Harkema,"Kristen Hager, Gregory Smith, Ryan Robbins, Tracy Wright, Don McKellar",drama,"['leslie', 'rosemary', '1969', 'perry', 'august', '1960s', 'infatuated', 'convicted', 'charged', 'charles', 'troubled', 'trial', 'teenager', 'sentenced', 'revolves']",2005s
Lost Song,Canadian,Rodrigue Jean,Suzie LeBlanc,drama,"['baby', 'suzie', 'pierre', 'louise', 'naomi', 'overly', 'patrick', 'refusing', 'comfort', 'eat', 'neighbor', 'spending', 'mother', 'sleeping', 'born']",2005s
Mr. Nobody,Canadian,Jaco Van Dormael,"Sarah Polley, Jared Leto, Diane Kruger, Rhys Ifans",science fiction film,"['nemo', 'elise', 'anna', 'mars', 'universe', 'choice', 'old', 'alternate', 'year', 'harry', 'age', 'train', 'remember', 'lighthouse', 'angels']",2005s
Polytechnique,Canadian,Denis Villeneuve,"Maxim Gaudette, Sebastien Huberdeau, Karine Vanasse",drama,"['classroom', 'women', 'jean', 'shoots', 'potential', 'ring', 'killer', 'leave', 'engineers', 'montreal', 'comply', 'specifically', 'deny', 'targeting', 'poisoning']",2005s
Runaway,Canadian,Cordell Barker,unknown_cast,national film board animated short,"['ruling', 'classes', 'vain', 'lower', 'suffered', 'intended', 'aboard', 'fate', 'film', 'class', 'control', 'train', 'place', 'story', 'tries']",2005s
Survival of the Dead,Canadian,George A. Romero,"Alan Van Sprang, Kenneth Welsh, Devon Bostick, Richard Fitzpatrick",zombie horror,"['patrick', 'flynn', 'janet', 'island', 'zombies', 'horse', 'undead', 'ferry', 'zombie', 'francisco', 'kenny', 'dock', 'bite', 'captured', 'finger']",2005s
Trailer Park Boys: Countdown to Liquor Day,Canadian,Mike Clattenburg,"Robb Wells, John Paul Tremblay, Mike Smith",comedy,"['julian', 'bubbles', 'trailer', 'ricky', 'animal', 'released', 'tyrone', 'guards', 'posh', 'money', 'randy', 'new', 'park', 'boys', 'drunk']",2005s
The Trotsky,Canadian,Jacob Tierney,"Jay Baruchel, Emily Hampshire",unknown,"['leon', 'school', 'saul', 'alexandra', 'student', 'montreal', 'reborn', 'workplace', 'hunger', 'revolutionary', 'jay', 'clothing', 'emily', 'graduate', 'quest']",2005s
Walled In,Canadian,Gilles Paquet-Brenner,"Mischa Barton, Cameron Bright, Deborah Kara Unger","horror, thriller","['sam', 'jimmy', 'building', 'mary', 'demolition', 'hole', 'shaft', 'tells', 'boyfriend', 'architect', 'realizes', 'walls', 'roof', 'demolished', 'wall']",2005s
The Wild Hunt,Canadian,Alexandre Franchi,"Mark Krupa, Ricky Mabe, Kaniehtiio Horn",drama,"['erik', 'evelyn', 'game', 'players', 'wild', 'hunt', 'elves', 'ages', 'horn', 'reconciled', 'proceedings', 'wrist', 'ricky', 'significant', 'snaps']",2005s
2 Frogs in the West,Canadian,Dany Papineau,Mirianne Brulé,comedy-drama,"['marie', 'columbia', 'british', 'bruno', 'brandon', 'juan', 'quebec', 'mishaps', 'luggage', 'roommates', 'ordeal', 'tae', 'brad', 'diane', 'triangle']",2010s
7 Days (Les 7 jours du Talion),Canadian,Podz,"Rémy Girard, Claude Legault, Fanny Mallette",thriller,"['jasmine', 'police', 'seventh', 'cabin', 'victims', 'seven', 'bruno', 'claude', 'murder', 'conceal', 'grocery', 'plans', 'marie', 'apprehended', 'abducts']",2010s
Arctic Blast,Canadian,Brian Trenchard-Smith,Michael Shanks,disaster film,"['eclipse', '70', 'centered', 'solar', 'spreading', 'combined', 'solution', 'protecting', 'blast', 'hole', 'effects', 'ice', 'heavily', 'cold', 'jack']",2010s
Altitude,Canadian,Kaare Andrews,"Mike Dopud, Jessica Lowndes, Julianna Guill",horror,"['sara', 'bruce', 'sal', 'cory', 'aircraft', 'monster', 'rope', 'control', 'comic', 'climb', 'fuel', 'parents', 'bolt', 'mother', 'fly']",2010s
The Bang Bang Club,Canadian,Steven Silver,"Ryan Phillippe, Taylor Kitsch, Malin Akerman",drama,"['africa', 'pictures', 'prior', 'south', 'capture', 'went', 'days', 'order', 'men', 'young', 'story', 'film', 'tells', '17', '16']",2010s
Barney's Version,Canadian,Richard J. Lewis,"Paul Giamatti, Dustin Hoffman, Rosamund Pike, Minnie Driver, Rachelle Lefevre, Scott Speedman, Bruce Greenwood",comedy-drama adaptation of the mordecai richler novel,"['barney', 'miriam', 'blair', 'lake', 'izzy', 'clara', 'divorce', 'children', 'drunk', 'forgotten', 'behaviour', 'signs', 'house', 'radio', 'memory']",2010s
A Beginner's Guide to Endings,Canadian,Jonathan Sobol,"Harvey Keitel, Jason Jones, Paulo Costanzo, Scott Cain, J.K. Simmons, Wendy Crewson",black comedy,"['lifetime', 'reverse', 'mistakes', 'brothers', 'learning', 'days', 'live', 'set', 'left', '18th', '18', '17', '16', '150', '15']",2010s
Beyond the Black Rainbow,Canadian,Panos Cosmatos,"Michael Rogers, Eva Allan, Scott Hylands, Marilyn Norry",sci-fi fantasy,"['elena', 'margo', 'institute', 'notes', 'dr', 'psychic', 'dagger', 'liquid', 'crushing', 'procedure', 'reverse', 'contact', 'elaborate', 'abilities', 'fatally']",2010s
Cell 213,Canadian,Stephen T. Kay,"Bruce Greenwood, Eric Balfour, Michael Rooker",drama,"['grey', 'murderer', 'prison', 'warden', 'sadistic', 'devil', 'summoned', 'violently', 'isolated', 'defend', 'sentenced', 'soul', 'locked', 'south', 'interview']",2010s
Daydream Nation,Canadian,Michael Goldbach,"Kat Dennings, Reece Thompson, Josh Lucas",drama,"['caroline', 'anderson', 'mr', 'serial', 'killer', 'ms', 'craig', 'sex', 'christmas', 'health', 'high', 'party', 'leg', 'goes', 'relationship']",2010s
La Derniere fugue,Canadian,Léa Pool,"Yves Jacques, Jacques Godin",drama,"['andré', 'quality', 'family', 'topic', 'father', 'live', 'atmosphere', 'fair', 'diagnosed', 'eldest', 'addition', 'disease', 'happiness', 'christmas', 'certain']",2010s
Dog Pound,Canadian,Kim Chapiron,"Adam Butcher, Shane Kippel","drama, thriller","['butch', 'davis', 'angel', 'riot', 'banks', 'confinement', 'solitary', 'detention', 'altercation', 'inmates', 'protection', 'rules', 'officer', 'officers', 'wrists']",2010s
"Faith, Fraud & Minimum Wage",Canadian,George Mihalka,"Callum Keith Rennie, Martha MacIsaac",drama,"['casey', 'created', 'mortgage', 'payments', 'christ', 'miracle', 'circus', 'jesus', 'closely', 'rebellious', 'overnight', 'cup', 'revelation', 'tragedy', 'aftermath']",2010s
